Time;mbcTimestepError;mbcTimestepErrorRelative;mbcError;mbcErrorRelative;mbcErrorCelia;mbcErrorCeliaTimestep;mbcDiffTWC;mbcDiffRelativeTWC;mbcTotalInflow;mbcDiffTWCTimestep;mbcTimestepInflow;
3600.0107;2.3010347e-19;8.4473793e-12;-2.4723869e-17;-9.0764336e-10;1.0198721;1.0197894;1.2688761e-15;4.6581987e-08;1.2441522e-15;1.1857694e-17;1.162759e-17;
3600.0108;2.3009025e-19;8.4468938e-12;-2.4953959e-17;-9.1609025e-10;1.0198713;1.0197883;1.2807338e-15;4.7017297e-08;1.2557798e-15;1.185768e-17;1.162759e-17;
3600.0109;2.300671e-19;8.4460439e-12;-2.5184026e-17;-9.245363e-10;1.0198705;1.0197863;1.2925914e-15;4.7452606e-08;1.2674074e-15;1.1857657e-17;1.162759e-17;
3600.011;2.3005056e-19;8.4454369e-12;-2.5414077e-17;-9.3298173e-10;1.0198697;1.0197849;1.304449e-15;4.7887914e-08;1.279035e-15;1.1857641e-17;1.162759e-17;
3600.0111;2.3002741e-19;8.444587e-12;-2.5644104e-17;-9.4142632e-10;1.0198689;1.0197829;1.3163067e-15;4.8323222e-08;1.2906626e-15;1.1857618e-17;1.162759e-17;
3600.0112;2.3002411e-19;8.4444659e-12;-2.5874128e-17;-9.4987079e-10;1.0198682;1.0197826;1.3281643e-15;4.8758529e-08;1.3022902e-15;1.1857614e-17;1.162759e-17;
3600.0113;2.2998773e-19;8.4431301e-12;-2.6104116e-17;-9.5831391e-10;1.0198674;1.0197795;1.3400219e-15;4.9193835e-08;1.3139177e-15;1.1857578e-17;1.162759e-17;
3600.0114;2.2998443e-19;8.443009e-12;-2.6334101e-17;-9.6675692e-10;1.0198666;1.0197792;1.3518794e-15;4.9629141e-08;1.3255453e-15;1.1857575e-17;1.162759e-17;
3600.0115;2.2997782e-19;8.4427664e-12;-2.6564078e-17;-9.7519969e-10;1.0198659;1.0197786;1.363737e-15;5.0064447e-08;1.3371729e-15;1.1857568e-17;1.162759e-17;
3600.0116;2.2996128e-19;8.4421594e-12;-2.679404e-17;-9.8364185e-10;1.0198651;1.0197772;1.3755946e-15;5.0499752e-08;1.3488005e-15;1.1857551e-17;1.162759e-17;
3600.0117;2.2991828e-19;8.4405807e-12;-2.7023958e-17;-9.9208243e-10;1.0198643;1.0197735;1.3874521e-15;5.0935056e-08;1.3604281e-15;1.1857508e-17;1.162759e-17;
3600.0118;2.299216e-19;8.4407025e-12;-2.725388e-17;-1.0005231e-09;1.0198635;1.0197738;1.3993096e-15;5.137036e-08;1.3720557e-15;1.1857512e-17;1.162759e-17;
3600.0119;2.2988852e-19;8.4394882e-12;-2.7483768e-17;-1.0089626e-09;1.0198628;1.019771;1.4111671e-15;5.1805662e-08;1.3836833e-15;1.1857479e-17;1.162759e-17;
3600.012;2.2989184e-19;8.43961e-12;-2.771366e-17;-1.0174022e-09;1.019862;1.0197712;1.4230245e-15;5.2240965e-08;1.3953109e-15;1.1857482e-17;1.162759e-17;
3600.0121;2.2986207e-19;8.4385172e-12;-2.7943522e-17;-1.0258407e-09;1.0198612;1.0197687;1.434882e-15;5.2676266e-08;1.4069385e-15;1.1857452e-17;1.162759e-17;
3600.0122;2.2985546e-19;8.4382746e-12;-2.8173377e-17;-1.034279e-09;1.0198605;1.0197681;1.4467394e-15;5.3111568e-08;1.4185661e-15;1.1857445e-17;1.162759e-17;
3600.0123;2.2983231e-19;8.4374247e-12;-2.840321e-17;-1.0427164e-09;1.0198597;1.0197661;1.4585969e-15;5.3546868e-08;1.4301936e-15;1.1857422e-17;1.162759e-17;
3600.0124;2.2980585e-19;8.4364533e-12;-2.8633016e-17;-1.0511529e-09;1.0198589;1.0197638;1.4704542e-15;5.3982167e-08;1.4418212e-15;1.1857396e-17;1.162759e-17;
3600.0125;2.2979924e-19;8.4362107e-12;-2.8862815e-17;-1.0595891e-09;1.0198582;1.0197633;1.4823116e-15;5.4417467e-08;1.4534488e-15;1.1857389e-17;1.162759e-17;
3600.0126;2.2977609e-19;8.4353608e-12;-2.9092591e-17;-1.0680245e-09;1.0198574;1.0197613;1.494169e-15;5.4852765e-08;1.4650764e-15;1.1857366e-17;1.162759e-17;
3600.0127;2.2975294e-19;8.4345109e-12;-2.9322344e-17;-1.076459e-09;1.0198566;1.0197593;1.5060263e-15;5.5288063e-08;1.476704e-15;1.1857343e-17;1.162759e-17;
3600.0128;2.2975295e-19;8.4345113e-12;-2.9552097e-17;-1.0848935e-09;1.0198559;1.0197593;1.5178837e-15;5.572336e-08;1.4883316e-15;1.1857343e-17;1.162759e-17;
3600.0129;2.2973973e-19;8.4340258e-12;-2.9781837e-17;-1.0933275e-09;1.0198551;1.0197582;1.529741e-15;5.6158657e-08;1.4999592e-15;1.185733e-17;1.162759e-17;
3600.013;2.2970665e-19;8.4328114e-12;-3.0011543e-17;-1.1017603e-09;1.0198543;1.0197553;1.5415983e-15;5.6593953e-08;1.5115868e-15;1.1857297e-17;1.162759e-17;
3600.0131;2.2970004e-19;8.4325689e-12;-3.0241243e-17;-1.1101929e-09;1.0198536;1.0197547;1.5534556e-15;5.7029248e-08;1.5232144e-15;1.185729e-17;1.162759e-17;
3600.0132;2.2970667e-19;8.4328121e-12;-3.047095e-17;-1.1186257e-09;1.0198528;1.0197553;1.5653129e-15;5.7464544e-08;1.534842e-15;1.1857297e-17;1.162759e-17;
3600.0133;2.2964381e-19;8.4305046e-12;-3.0700594e-17;-1.1270562e-09;1.0198521;1.0197499;1.5771701e-15;5.7899838e-08;1.5464695e-15;1.1857234e-17;1.162759e-17;
3600.0134;2.2965705e-19;8.4309908e-12;-3.0930251e-17;-1.1354872e-09;1.0198513;1.019751;1.5890274e-15;5.8335132e-08;1.5580971e-15;1.1857247e-17;1.162759e-17;
